Date,cumulative_strategy,cumulative_benchmark
2023-07-20,35.204679893003515,11.378720234658589
2023-07-21,36.49782632538665,10.960754455073166
2023-07-24,37.73885140539961,10.58805907718026
2023-07-25,39.22536748022194,10.17100027879974
2023-07-26,40.348339777328135,9.879817498862483
2023-07-27,41.7809018016013,9.529035993756473
2023-07-28,43.39041630294404,9.16195148972645
2023-07-31,44.86214717828341,8.851193307743367
2023-08-01,45.63750430837737,8.698217218263617
2023-08-02,45.62253936783979,8.701069440474864
2023-08-03,45.564065496816035,8.71222149863035
2023-08-04,45.18005766448143,8.785646932819093
2023-08-07,45.39613553246888,8.743628751429597
2023-08-08,45.73816590141217,8.677751193071892
2023-08-09,45.90779942187359,8.645567185349718
2023-08-10,46.02429238832104,8.62362869601402
2023-08-11,45.78293399779078,8.668852316728037
2023-08-14,46.066625513082606,8.615136234449597
2023-08-15,45.759573370019986,8.672559499429424
2023-08-16,44.71260526807391,8.870985587992585
2023-08-17,43.89454490634324,9.033288849802346
2023-08-18,43.0525592663118,9.206565495226469
2023-08-21,42.62024811646198,9.299012982280356
2023-08-22,42.47793559324606,9.330063153487941
2023-08-23,41.462816999195944,9.107097501826814
2023-08-24,40.92988322051524,8.990041299770974
2023-08-25,40.29564175849177,8.850733378785748
2023-08-28,41.74793103522096,8.531745403504503
2023-08-29,39.67688394872985,8.108499364180908
2023-08-30,39.67688394872985,7.722064067167061
2023-08-31,41.609916637718975,7.345849990285652
2023-09-01,43.70507602980523,6.975968773411207
2023-09-05,46.303763973120454,6.561180204411937
2023-09-06,48.39555644398193,6.264776064145468
2023-09-07,50.4934306472882,5.993207493388892
2023-09-08,52.18115797162906,5.792886383942151
2023-09-11,53.94631903321233,5.596927193372441
2023-09-12,55.19960970344491,5.466898365472134
2023-09-13,56.31769942195302,5.356164197469823
2023-09-14,58.26146362091854,5.171300108245958
2023-09-15,59.86569934103312,5.028907798861854
2023-09-18,60.93973808374718,4.938685152689367
2023-09-19,61.90993043063101,4.860058714679028
2023-09-20,63.141886205243374,4.763347615880223
2023-09-21,63.90017213657655,4.706143441278428
2023-09-22,65.31867562600287,4.601672973203224
2023-09-25,67.13181016453993,4.473938414552042
2023-09-26,67.13181016453993,4.446876578973951
2023-09-27,68.50977589666157,4.355598784947817
2023-09-28,71.09851406518841,4.191016363332671
2023-09-29,73.92848869586905,4.024198953138637
2023-10-02,76.02426570935839,3.910118118909882
2023-10-03,76.66508062485761,3.877159405154718
2023-10-04,77.13060262284802,3.853616705165309
2023-10-05,76.05122367970934,3.90754488133712
2023-10-06,75.17147873246715,3.952746558563986
2023-10-09,74.64579499820437,3.9803886191771007
2023-10-10,74.30085300608009,3.9987821961999033
2023-10-11,74.20189289030586,4.004108110144116
