,cumulative_strategy,cumulative_benchmark
2023-11-13,1.0201616610562112,1.1351975522071098
2023-11-14,1.0201616610562112,1.137010476406128
2023-11-15,1.0201616610562112,1.138364004824029
2023-11-16,1.0201616610562112,1.139823443326734
2023-11-17,1.0201616610562112,1.1482470555547746
2023-11-20,1.0201616610562112,1.145926527375387
2023-11-21,1.0243046693880158,1.1505802830807688
2023-11-22,1.0243046693880158,1.1512670341545264
2023-11-24,1.0243046693880158,1.1490172770911777
2023-11-27,1.0243046693880158,1.1501434502164383
2023-11-28,1.0243046693880158,1.149055128541742
2023-11-29,1.0243046693880158,1.1534032368661824
2023-11-30,1.0243046693880158,1.1601780300440687
2023-12-01,1.0187647082348306,1.153903196579663
2023-12-04,1.0187647082348306,1.1532467759842078
2023-12-05,1.0187647082348306,1.1487419601885385
2023-12-06,1.0268824180437048,1.1578953533152452
2023-12-07,1.0268824180437048,1.162637511268362
2023-12-08,1.0268824180437048,1.1672002755388367
2023-12-11,1.0268824180437048,1.1725686469037335
2023-12-12,1.0268824180437048,1.1885750020020003
2023-12-13,1.0241641961187042,1.1917212343000512
2023-12-14,1.0240861041176859,1.1916303661597711
2023-12-15,1.0194486895768835,1.1970264788157983
2023-12-18,1.0194486895768835,1.2040487243105662
2023-12-19,1.0194486895768835,1.1863681514689328
2023-12-20,1.0089468717058403,1.1985894848053895
2023-12-21,1.0072719608482892,1.2005792134998776
2023-12-22,1.0030094987026632,1.2056596919101563
2023-12-26,1.0015747359954523,1.2073843371560664
2023-12-27,1.0012039784601288,1.2078312801798314
2023-12-28,1.0040338564885378,1.2044173752460305
2023-12-29,1.0097172694573802,1.1975996755378626
2024-01-02,1.0178114810722703,1.1879993393873909
2024-01-03,1.0213009269182136,1.1839264246709627
2024-01-04,1.0194363519315408,1.1860879027812037
2024-01-05,1.0050473857190447,1.2028290938578539
2024-01-08,1.0050473857190447,1.201051431922228
2024-01-09,0.9993528154796995,1.2078565555784169
2024-01-10,1.0000234367613037,1.207046016698905
2024-01-11,0.9992724435667575,1.2079524787984142
2024-01-12,1.0030010690429068,1.2034451971102
2024-01-16,1.0086348229231534,1.196685569171465
2024-01-17,0.9997535300900421,1.2072226978997482
2024-01-18,0.9874430622330237,1.2220878379282305
2024-01-19,0.9852762910354066,1.2247694960708204
2024-01-22,0.9823979302378484,1.2283475061534852
2024-01-23,0.9816002934466114,1.2293448363932742
2024-01-24,0.9764367171009785,1.2358116395923011
2024-01-25,0.9770731441517942,1.2350061557925063
2024-01-26,0.9696896223443355,1.244338819307228
2024-01-29,0.9702720663525207,1.243591407276866
2024-01-30,0.9858990204569619,1.2235624416700872
2024-01-31,0.9735815054872412,1.2388492493237493
2024-02-01,0.9631793263897973,1.2520856673263183
2024-02-02,0.9662483408223879,1.2480960997779083
2024-02-05,0.9640159101942163,1.2509797145199262
2024-02-06,0.9560710135943115,1.261289611250196
2024-02-07,0.9555254954777944,1.262009281989428
2024-02-08,0.9500385417463815,1.2692561702950373
2024-02-09,0.9509400842417866,1.2680517050814761
2024-02-12,0.9639434820649888,1.2507120418841764
2024-02-13,0.95470913169631,1.2626935671706407
2024-02-14,0.9491515305097055,1.2700440229631365
2024-02-15,0.9537107512573575,1.2639434048070286
2024-02-16,0.9594380914146312,1.2563530176699131
2024-02-20,0.9582251698533587,1.2579412990580898
2024-02-21,0.9379846905363343,1.2845126474703972
2024-02-22,0.9376583210648782,1.2849595904941622
2024-02-23,0.9412089999781881,1.2800937680299183
2024-02-26,0.9396029682840029,1.2822780556461997
2024-02-27,0.9411609757006585,1.280151839799351
2024-02-28,0.9362395558334585,1.2868458749963916
2024-02-29,0.9287423096151617,1.2971507166469443
2024-03-01,0.9298505425868832,1.2956028758965044
2024-03-04,0.939328602973997,1.2823966650776104
2024-03-05,0.9344994176843199,1.2889895986803097
2024-03-06,0.9248702161377735,1.3022715124003326
2024-03-07,0.9309082489195427,1.293769608083991
2024-03-08,0.9319529496123051,1.292317690553548
2024-03-11,0.9215134102621392,1.306793959327698
2024-03-12,0.9232868902032736,1.304278995521144
2024-03-13,0.9259377314031589,1.3005342911024433
2024-03-14,0.931940509311595,1.2921030346075135
2024-03-15,0.9260524537186887,1.3002666184666933
2024-03-18,0.9208210448237677,1.307612019179472
2024-03-19,0.9126218940980478,1.3192552240087745
2024-03-20,0.9096681610296009,1.323525040244914
2024-03-21,0.910943686671633,1.3216692095156146
2024-03-22,0.9137265872526454,1.3176315570625787
2024-03-25,0.9162848345886186,1.313942458520766
2024-03-26,0.9083767223902746,1.3252826051562991
2024-03-27,0.9073625329446671,1.3267622639778727
2024-03-28,0.9091895841132852,1.324090715994717
2024-04-01,0.9157712612213913,1.3145055450833965
2024-04-02,0.914772042717334,1.3159398314821436
2024-04-03,0.9260551487761335,1.299708586983781
2024-04-04,0.9157766828637277,1.3141343049607603
2024-04-05,0.9161197611966652,1.313641989514169
2024-04-08,0.9147955163176551,1.3155408500683772
2024-04-09,0.9234467198133623,1.303099805706169
2024-04-10,0.9165718457878481,1.3128011201563548
2024-04-11,0.9299085970166145,1.2936989602625804
2024-04-12,0.9410873583303265,1.2781469458657133
2024-04-15,0.9430227110828947,1.2755184277074663
2024-04-16,0.9484739507359792,1.2681451624089302
2024-04-17,0.9505683330888515,1.26534489483493
2024-04-18,0.9588939315826269,1.2542623106757127
2024-04-19,0.9505215907917549,1.2652135860569134
2024-04-22,0.9391490027216158,1.2803513305062355
2024-04-23,0.9389489545349249,1.2806240582217023
2024-04-24,0.9432459890308603,1.2747633714102142
2024-04-25,0.933616256189195,1.287777612494487
2024-04-26,0.9306488048446045,1.2918707475297835
2024-04-29,0.9452883885138097,1.2715489571832965
